gpu,dtype,tokens,head_dim,normalize,backend,median_us,min_us,max_us,repeats,all_pass
NVIDIA H200,bfloat16,128,256,1,hopper/warp,1.5906000509858131,1.5860000625252724,1.5931999310851097,5,True
NVIDIA H200,bfloat16,128,256,1,hopper/wmma_fast,1.9484000280499458,1.9336000084877014,1.9511999562382698,5,True
NVIDIA H200,bfloat16,128,256,1,hopper/wmma_split,2.051999978721142,2.051600068807602,2.053000032901764,5,True
NVIDIA H200,bfloat16,128,64,0,dao,1.7066000029444695,1.6901999711990356,1.7085999250411987,5,True
NVIDIA H200,bfloat16,128,64,0,dao_plus_quant,3.1987998634576797,3.1925998628139496,3.2001998275518417,5,True
NVIDIA H200,bfloat16,128,64,0,hopper/mma_fast,1.630599983036518,1.6116000711917877,1.6313999891281128,5,False
NVIDIA H200,bfloat16,128,64,0,hopper/mma_split,1.638600043952465,1.6214000061154366,1.6392000019550323,5,True
NVIDIA H200,bfloat16,128,64,0,hopper/warp,1.4856000430881977,1.4681999571621418,1.486399956047535,5,True
NVIDIA H200,bfloat16,128,64,0,hopper/wmma_fast,1.9355999305844307,1.9346000626683235,1.936200074851513,5,False
NVIDIA H200,bfloat16,128,64,0,hopper/wmma_split,1.9985999912023544,1.982400007545948,2.0023999735713005,5,True
NVIDIA H200,bfloat16,128,64,1,dao,1.703999936580658,1.7000000923871994,1.7044000327587128,5,True
NVIDIA H200,bfloat16,128,64,1,dao_plus_quant,3.194599971175194,3.1922001391649246,3.1950000673532486,5,True
NVIDIA H200,bfloat16,128,64,1,hopper/mma_fast,1.614600047469139,1.6127999871969223,1.616000011563301,5,True
NVIDIA H200,bfloat16,128,64,1,hopper/mma_split,1.6445999965071678,1.6435999423265457,1.6467999666929245,5,True
NVIDIA H200,bfloat16,128,64,1,hopper/warp,1.513999979943037,1.5107999555766582,1.5147999860346317,5,True
NVIDIA H200,bfloat16,128,64,1,hopper/wmma_fast,1.916399970650673,1.9155999645590782,1.9190000370144844,5,True
NVIDIA H200,bfloat16,128,64,1,hopper/wmma_split,2.0207999274134636,2.0193999633193016,2.0215999335050583,5,True
NVIDIA H200,bfloat16,131072,128,0,dao,80.65999746322632,80.60380220413208,80.96879720687866,5,True
NVIDIA H200,bfloat16,131072,128,0,dao_plus_quant,160.99779605865479,160.8657956123352,161.65239810943604,5,True
NVIDIA H200,bfloat16,131072,128,0,hopper/mma_fast,20.241400599479675,20.196999609470367,20.25199979543686,5,False
NVIDIA H200,bfloat16,131072,128,0,hopper/mma_split,20.645199716091156,20.629000663757324,20.715199410915375,5,False
NVIDIA H200,bfloat16,131072,128,0,hopper/warp,22.33400046825409,22.259800136089325,22.413399815559387,5,True
NVIDIA H200,bfloat16,131072,128,0,hopper/wmma_fast,34.94200110435486,34.92400050163269,34.96699929237366,5,False
NVIDIA H200,bfloat16,131072,128,0,hopper/wmma_split,40.315601229667664,40.29519855976105,40.36000072956085,5,False
NVIDIA H200,bfloat16,131072,128,1,dao,80.63639998435974,80.61500191688538,80.99759817123413,5,True
NVIDIA H200,bfloat16,131072,128,1,dao_plus_quant,161.19660139083862,160.85200309753418,161.94820404052734,5,True
NVIDIA H200,bfloat16,131072,128,1,hopper/mma_fast,20.196199417114258,20.18759995698929,20.25340050458908,5,True
NVIDIA H200,bfloat16,131072,128,1,hopper/mma_split,20.586399734020233,20.573200285434723,20.626400411128998,5,True
NVIDIA H200,bfloat16,131072,128,1,hopper/warp,22.428199648857117,22.398599982261658,22.50480055809021,5,True
NVIDIA H200,bfloat16,131072,128,1,hopper/wmma_fast,34.93419885635376,34.93260145187378,34.975799918174744,5,True
NVIDIA H200,bfloat16,131072,128,1,hopper/wmma_split,40.334999561309814,40.32120108604431,40.340399742126465,5,True
NVIDIA H200,bfloat16,131072,256,0,dao,80.7286024093628,80.71079850196838,80.75140118598938,5,True
NVIDIA H200,bfloat16,131072,256,0,dao_plus_quant,161.74880266189575,161.66119575500488,162.17999458312988,5,True
NVIDIA H200,bfloat16,131072,256,0,hopper/mma_fast,36.7249995470047,36.69700026512146,36.7467999458313,5,False
NVIDIA H200,bfloat16,131072,256,0,hopper/mma_split,38.03659975528717,38.01980018615723,38.06979954242706,5,False
NVIDIA H200,bfloat16,131072,256,0,hopper/warp,36.12020015716553,36.08739972114563,36.1272007226944,5,True
NVIDIA H200,bfloat16,131072,256,0,hopper/wmma_fast,66.79720282554626,66.76859855651855,66.839599609375,5,False
NVIDIA H200,bfloat16,131072,256,0,hopper/wmma_split,77.89919972419739,77.88659930229187,77.95559763908386,5,False
NVIDIA H200,bfloat16,131072,256,1,dao,80.7174026966095,80.64919710159302,80.84459900856018,5,True
NVIDIA H200,bfloat16,131072,256,1,dao_plus_quant,161.66419982910156,161.54780387878418,162.15239763259888,5,True
NVIDIA H200,bfloat16,131072,256,1,hopper/mma_fast,36.59619987010956,36.581799387931824,36.68160140514374,5,True
NVIDIA H200,bfloat16,131072,256,1,hopper/mma_split,38.027599453926086,38.020798563957214,38.19980025291443,5,True
NVIDIA H200,bfloat16,131072,256,1,hopper/warp,37.28660047054291,37.25680112838745,37.30340003967285,5,True
NVIDIA H200,bfloat16,131072,256,1,hopper/wmma_fast,66.83359742164612,66.79819822311401,66.8582022190094,5,True
NVIDIA H200,bfloat16,131072,256,1,hopper/wmma_split,77.9009997844696,77.84420251846313,77.93160080909729,5,True
NVIDIA H200,bfloat16,131072,64,0,dao,80.48819899559021,80.4744005203247,80.5001974105835,5,True
NVIDIA H200,bfloat16,131072,64,0,dao_plus_quant,160.5780005455017,160.56159734725952,160.59739589691162,5,True
