gpu,dtype,batch_size,seq_len,num_heads,head_dim,total_tokens,normalize,warmup_runs,bench_runs,implementation,kind,avg_ms,min_ms,max_ms,speedup_vs_baseline,speedup_vs_best_non_tc,max_abs_error,rmse,max_rel_error,max_ulp_error,bit_exact_vs_optimized,quant_vs_unfused
NVIDIA L40S,bf16,4,1024,32,64,131072,true,20,100,fused_opt_int4,fused_int4,0.0734067,0.072832,0.075104,1.26678,0.299508,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,64,131072,true,20,100,fused_warp_int4,fused_int4,0.0219859,0.02128,0.029408,4.22954,1,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,64,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.019881,0.019232,0.022848,4.67736,1.10588,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,64,131072,true,20,100,fused_tc_split_int4,fused_int4,0.0236086,0.023072,0.025504,3.93883,0.931266,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,128,131072,true,20,100,baseline,transform,0.109551,0.109024,0.11088,1,0.210126,0.0155252,0.00165944,0.00386611,0.499989,1,n/a
NVIDIA L40S,bf16,4,1024,32,128,131072,true,20,100,optimized,transform,0.0387235,0.038208,0.040544,2.82906,0.594458,0.0155252,0.00165944,0.00386611,0.499989,1,n/a
NVIDIA L40S,bf16,4,1024,32,128,131072,true,20,100,warp,transform,0.0230195,0.022304,0.02976,4.75905,1,0.0155252,0.00165944,0.00386611,0.499989,1,n/a
NVIDIA L40S,bf16,4,1024,32,128,131072,true,20,100,tc_fast,transform,0.0344218,0.033664,0.040736,3.18261,0.668749,0.0166948,0.00235075,0.00522791,1.01288,0.58666,n/a
NVIDIA L40S,bf16,4,1024,32,128,131072,true,20,100,tc_split,transform,0.0420464,0.041376,0.048128,2.60548,0.547479,0.0155252,0.00165944,0.00386611,0.499989,0.999661,n/a
NVIDIA L40S,bf16,4,1024,32,128,131072,true,20,100,unfused_int4,fused_int4,0.0941718,0.093728,0.095392,1,0.304543,,,,,,reference
NVIDIA L40S,bf16,4,1024,32,128,131072,true,20,100,fused_opt_int4,fused_int4,0.0736605,0.073056,0.074816,1.27846,0.389345,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,128,131072,true,20,100,fused_warp_int4,fused_int4,0.0286794,0.027808,0.034592,3.28361,1,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,128,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.0351552,0.034496,0.037856,2.67875,0.815793,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,128,131072,true,20,100,fused_tc_split_int4,fused_int4,0.0428864,0.042272,0.044896,2.19584,0.668729,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,256,131072,true,20,100,baseline,transform,0.240892,0.240288,0.243392,1,0.76873,0.0155931,0.00166467,0.00374182,0.5,1,n/a
NVIDIA L40S,bf16,4,1024,32,256,131072,true,20,100,optimized,transform,0.192912,0.182592,0.199232,1.24872,0.959927,0.0155931,0.00166467,0.00374182,0.5,1,n/a
NVIDIA L40S,bf16,4,1024,32,256,131072,true,20,100,warp,transform,0.185181,0.177472,0.195648,1.30085,1,0.0155931,0.00166467,0.00374182,0.5,1,n/a
NVIDIA L40S,bf16,4,1024,32,256,131072,true,20,100,tc_fast,transform,0.190172,0.18416,0.195616,1.26671,0.973758,0.0206604,0.0023564,0.00522232,0.962158,0.579743,n/a
NVIDIA L40S,bf16,4,1024,32,256,131072,true,20,100,tc_split,transform,0.191233,0.18592,0.195968,1.25968,0.968352,0.0155931,0.00166467,0.00374182,0.500122,0.999447,n/a
NVIDIA L40S,bf16,4,1024,32,256,131072,true,20,100,unfused_int4,fused_int4,0.237651,0.235392,0.245664,1,0.203339,,,,,,reference
NVIDIA L40S,bf16,4,1024,32,256,131072,true,20,100,fused_opt_int4,fused_int4,0.103449,0.102112,0.104416,2.29727,0.467124,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,256,131072,true,20,100,fused_warp_int4,fused_int4,0.0483235,0.047136,0.050272,4.91791,1,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,256,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.0665789,0.065472,0.06816,3.56946,0.725809,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,256,131072,true,20,100,fused_tc_split_int4,fused_int4,0.0862416,0.082048,0.088896,2.75564,0.560327,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,512,131072,true,20,100,baseline,transform,0.536529,0.536032,0.53872,1,0.742655,0.015578,0.00166122,0.00381506,0.499999,1,n/a
NVIDIA L40S,bf16,4,1024,32,512,131072,true,20,100,optimized,transform,0.407616,0.40016,0.413632,1.31626,0.977526,0.015578,0.00166122,0.00381506,0.499999,1,n/a
NVIDIA L40S,bf16,4,1024,32,512,131072,true,20,100,warp,transform,0.398456,0.391968,0.405248,1.34652,1,0.015578,0.00166122,0.00381506,0.499999,1,n/a
NVIDIA L40S,bf16,4,1024,32,512,131072,true,20,100,tc_fast,transform,0.410937,0.403008,0.418912,1.30562,0.969627,0.0212626,0.00235275,0.00491907,0.903587,0.576891,n/a
NVIDIA L40S,bf16,4,1024,32,512,131072,true,20,100,tc_split,transform,0.412456,0.40624,0.418752,1.30082,0.966056,0.015578,0.00166122,0.00381506,0.500029,0.999331,n/a
NVIDIA L40S,bf16,4,1024,32,512,131072,true,20,100,unfused_int4,fused_int4,0.621108,0.612576,0.630368,1,0.378766,,,,,,reference
NVIDIA L40S,bf16,4,1024,32,512,131072,true,20,100,fused_opt_int4,fused_int4,0.251413,0.249344,0.253376,2.47047,0.935728,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,512,131072,true,20,100,fused_warp_int4,fused_int4,0.235254,0.234656,0.242432,2.64015,1,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,1024,131072,true,20,100,baseline,transform,1.6996,1.69779,1.71814,1,0.478641,0.0154078,0.001663,0.00381908,0.5,1,n/a
NVIDIA L40S,bf16,4,1024,32,1024,131072,true,20,100,optimized,transform,0.817354,0.80688,0.830112,2.07939,0.995282,0.0154078,0.001663,0.00381908,0.5,1,n/a
NVIDIA L40S,bf16,4,1024,32,1024,131072,true,20,100,warp,transform,0.813498,0.804352,0.823168,2.08925,1,0.0154078,0.001663,0.00381908,0.5,1,n/a
NVIDIA L40S,bf16,4,1024,32,1024,131072,true,20,100,tc_fast,transform,0.814506,0.806912,0.820896,2.08666,0.998762,0.0178189,0.00235261,0.00461676,0.975632,0.575563,n/a
NVIDIA L40S,bf16,4,1024,32,1024,131072,true,20,100,tc_split,transform,0.805484,0.79888,0.812672,2.11003,1.00995,0.0154078,0.001663,0.00381908,0.500061,0.999169,n/a
NVIDIA L40S,bf16,4,1024,32,1024,131072,true,20,100,unfused_int4,fused_int4,1.27713,1.25936,1.28922,1,0.366906,,,,,,reference
NVIDIA L40S,bf16,4,1024,32,1024,131072,true,20,100,fused_opt_int4,fused_int4,0.55681,0.549472,0.591936,2.29366,0.841557,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,1024,131072,true,20,100,fused_warp_int4,fused_int4,0.468587,0.467584,0.469792,2.7255,1,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,64,2048,false,5,20,baseline,transform,0.004936,0.004544,0.00592,1,0.802593,0.0152054,0.00165975,0.000467071,0.5,1,n/a
NVIDIA L40S,fp16,1,256,8,64,2048,false,5,20,optimized,transform,0.0039616,0.00368,0.00448,1.24596,1,0.0152054,0.00165975,0.000467071,0.5,1,n/a
NVIDIA L40S,fp16,1,256,8,64,2048,false,5,20,warp,transform,0.004152,0.003744,0.00464,1.18882,0.954143,0.0152054,0.00165975,0.000467071,0.5,1,n/a
NVIDIA L40S,fp16,1,256,8,64,2048,false,5,20,tc_fast,transform,0.004472,0.003744,0.010464,1.10376,0.885868,0.0152054,0.00237003,0.00070146,1.12109,0.598404,n/a
NVIDIA L40S,fp16,1,256,8,64,2048,false,5,20,tc_split,transform,0.0043248,0.003904,0.006048,1.14132,0.916019,0.0152054,0.00165975,0.000467071,0.5,0.999992,n/a
NVIDIA L40S,fp16,1,256,8,64,2048,false,5,20,unfused_int4,fused_int4,0.0071664,0.00656,0.007808,1,0.618888,,,,,,reference
NVIDIA L40S,fp16,1,256,8,64,2048,false,5,20,fused_opt_int4,fused_int4,0.00516,0.004704,0.006016,1.38884,0.859535,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,64,2048,false,5,20,fused_warp_int4,fused_int4,0.0044352,0.004,0.005568,1.6158,1,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,64,2048,false,5,20,fused_tc_fast_int4,fused_int4,0.0043456,0.003936,0.005024,1.64912,1.02062,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,64,2048,false,5,20,fused_tc_split_int4,fused_int4,0.0044128,0.003936,0.0072,1.624,1.00508,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,128,2048,false,5,20,baseline,transform,0.0054352,0.005056,0.00592,1,0.813953,0.0155945,0.00234161,0.000481916,0.5,1,n/a
NVIDIA L40S,fp16,1,256,8,128,2048,false,5,20,optimized,transform,0.004424,0.004064,0.005824,1.22857,1,0.0155945,0.00234161,0.000481916,0.5,1,n/a
NVIDIA L40S,fp16,1,256,8,128,2048,false,5,20,warp,transform,0.0047056,0.003936,0.01168,1.15505,0.940156,0.0155945,0.00234161,0.000481916,0.5,1,n/a
NVIDIA L40S,fp16,1,256,8,128,2048,false,5,20,tc_fast,transform,0.004752,0.004096,0.011616,1.14377,0.930976,0.0265808,0.00332273,0.000680179,1.02002,0.585079,n/a
NVIDIA L40S,fp16,1,256,8,128,2048,false,5,20,tc_split,transform,0.00456,0.004224,0.00624,1.19193,0.970175,0.0155945,0.00234161,0.000481916,0.5,0.999985,n/a
NVIDIA L40S,fp16,1,256,8,128,2048,false,5,20,unfused_int4,fused_int4,0.007344,0.006816,0.008768,1,0.605011,,,,,,reference
NVIDIA L40S,fp16,1,256,8,128,2048,false,5,20,fused_opt_int4,fused_int4,0.0051568,0.004736,0.005728,1.42414,0.86162,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,128,2048,false,5,20,fused_warp_int4,fused_int4,0.0044432,0.004128,0.005152,1.65286,1,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,128,2048,false,5,20,fused_tc_fast_int4,fused_int4,0.0045424,0.004256,0.00512,1.61677,0.978161,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,128,2048,false,5,20,fused_tc_split_int4,fused_int4,0.0046608,0.004256,0.005408,1.5757,0.953313,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,256,2048,false,5,20,baseline,transform,0.0075728,0.00704,0.008512,1,0.632368,0.0281143,0.00331796,0.000442476,0.500061,1,n/a
NVIDIA L40S,fp16,1,256,8,256,2048,false,5,20,optimized,transform,0.0050448,0.004768,0.005568,1.50111,0.949255,0.0281143,0.00331796,0.000442476,0.500061,1,n/a
NVIDIA L40S,fp16,1,256,8,256,2048,false,5,20,warp,transform,0.0047888,0.004096,0.009984,1.58136,1,0.0281143,0.00331796,0.000442476,0.500061,1,n/a
NVIDIA L40S,fp16,1,256,8,256,2048,false,5,20,tc_fast,transform,0.0047776,0.004384,0.005696,1.58506,1.00234,0.0359802,0.00469984,0.000671337,0.924377,0.579971,n/a
NVIDIA L40S,fp16,1,256,8,256,2048,false,5,20,tc_split,transform,0.0050768,0.004768,0.005632,1.49165,0.943271,0.0281143,0.00331796,0.000442476,0.500031,0.999954,n/a
NVIDIA L40S,fp16,1,256,8,256,2048,false,5,20,unfused_int4,fused_int4,0.0077552,0.00704,0.013728,1,0.60491,,,,,,reference
NVIDIA L40S,fp16,1,256,8,256,2048,false,5,20,fused_opt_int4,fused_int4,0.0059408,0.00528,0.012512,1.30541,0.789658,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,256,2048,false,5,20,fused_warp_int4,fused_int4,0.0046912,0.004512,0.00512,1.65314,1,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,256,2048,false,5,20,fused_tc_fast_int4,fused_int4,0.0050448,0.004608,0.005632,1.53727,0.929908,,,,,,bit-exact
NVIDIA L40S,fp16,1,256,8,256,2048,false,5,20,fused_tc_split_int4,fused_int4,0.0053136,0.00496,0.006048,1.4595,0.882867,,,,,,bit-exact
NVIDIA L40S,fp16,1,1,1022,64,1022,true,5,20,baseline,transform,0.004544,0.004064,0.007776,1,0.862676,0.00190067,0.000208011,0.000460049,0.5,1,n/a
NVIDIA L40S,fp16,1,1,1022,64,1022,true,5,20,optimized,transform,0.00392,0.00352,0.004928,1.15918,1,0.00190067,0.000208011,0.000460049,0.5,1,n/a
NVIDIA L40S,fp16,1,1,1022,64,1022,true,5,20,warp,transform,0.0039904,0.003328,0.005504,1.13873,0.982358,0.00190067,0.000208011,0.000460049,0.5,1,n/a
NVIDIA L40S,fp16,1,1,1022,64,1022,true,5,20,tc_fast,transform,0.0059888,0.00544,0.008128,0.75875,0.654555,0.00190067,0.000296182,0.00069762,1.01074,0.598337,n/a
NVIDIA L40S,fp16,1,1,1022,64,1022,true,5,20,tc_split,transform,0.0063904,0.00544,0.012576,0.711067,0.61342,0.00190067,0.000208011,0.000460049,0.5,1,n/a
NVIDIA L40S,fp16,1,1,1022,64,1022,true,5,20,unfused_int4,fused_int4,0.0065888,0.006176,0.00768,1,0.609276,,,,,,reference
NVIDIA L40S,fp16,1,1,1022,64,1022,true,5,20,fused_opt_int4,fused_int4,0.0044816,0.004064,0.005376,1.47019,0.895752,,,,,,bit-exact
NVIDIA L40S,fp16,1,1,1022,64,1022,true,5,20,fused_warp_int4,fused_int4,0.0040144,0.003648,0.004928,1.64129,1,,,,,,bit-exact
