gpu,variant,dtype,head_dim,implementation,repeats,median_us,min_us,max_us
NVIDIA H200,w4_tc4_v1,bf16,128,warp,3,25.5808,25.5309,25.6957
NVIDIA H200,w4_tc4_v1,bf16,256,baseline,3,197.849,197.73,197.865
NVIDIA H200,w4_tc4_v1,bf16,256,fused_opt_int4,3,98.9866,98.8608,99.0016
NVIDIA H200,w4_tc4_v1,bf16,256,fused_tc_fast_int4,3,72.13250000000001,71.9462,72.1424
NVIDIA H200,w4_tc4_v1,bf16,256,fused_tc_split_int4,3,82.8301,82.7514,82.888
NVIDIA H200,w4_tc4_v1,bf16,256,fused_warp_int4,3,52.1789,52.1574,52.255
NVIDIA H200,w4_tc4_v1,bf16,256,optimized,3,85.1248,85.0781,85.1354
NVIDIA H200,w4_tc4_v1,bf16,256,tc_fast,3,70.6563,70.54979999999999,70.6966
NVIDIA H200,w4_tc4_v1,bf16,256,tc_split,3,81.2723,81.048,81.2909
NVIDIA H200,w4_tc4_v1,bf16,256,unfused_int4,3,122.832,122.521,122.876
NVIDIA H200,w4_tc4_v1,bf16,256,warp,3,41.1222,41.1037,41.309400000000004
NVIDIA H200,w4_tc4_v1,fp16,64,baseline,3,84.24510000000001,84.20859999999999,84.2582
NVIDIA H200,w4_tc4_v1,fp16,64,fused_opt_int4,3,84.2067,84.1165,84.2973
NVIDIA H200,w4_tc4_v1,fp16,64,fused_tc_fast_int4,3,20.7338,20.6099,20.904
NVIDIA H200,w4_tc4_v1,fp16,64,fused_tc_split_int4,3,22.705,22.647000000000002,22.7686
NVIDIA H200,w4_tc4_v1,fp16,64,fused_warp_int4,3,25.148500000000002,25.0902,25.2288
NVIDIA H200,w4_tc4_v1,fp16,64,optimized,3,24.8848,24.866200000000003,24.952599999999997
NVIDIA H200,w4_tc4_v1,fp16,64,tc_fast,3,20.3782,20.318099999999998,20.4413
NVIDIA H200,w4_tc4_v1,fp16,64,tc_split,3,22.4042,22.3334,22.465
NVIDIA H200,w4_tc4_v1,fp16,64,unfused_int4,3,106.473,106.472,106.656
NVIDIA H200,w4_tc4_v1,fp16,64,warp,3,24.7901,24.764499999999998,24.970200000000002
NVIDIA H200,w4_tc4_v1,fp16,128,baseline,3,100.05699999999999,100.055,100.148
NVIDIA H200,w4_tc4_v1,fp16,128,fused_opt_int4,3,84.7446,84.7219,84.7619
NVIDIA H200,w4_tc4_v1,fp16,128,fused_tc_fast_int4,3,36.2614,36.2102,36.272600000000004
NVIDIA H200,w4_tc4_v1,fp16,128,fused_tc_split_int4,3,40.3773,40.3504,40.4304
NVIDIA H200,w4_tc4_v1,fp16,128,fused_warp_int4,3,30.955199999999998,30.8803,30.9766
NVIDIA H200,w4_tc4_v1,fp16,128,optimized,3,45.1814,45.1424,45.2112
NVIDIA H200,w4_tc4_v1,fp16,128,tc_fast,3,36.1472,36.054700000000004,36.1994
NVIDIA H200,w4_tc4_v1,fp16,128,tc_split,3,39.8976,39.888600000000004,39.9472
NVIDIA H200,w4_tc4_v1,fp16,128,unfused_int4,3,107.23100000000001,107.128,107.306
NVIDIA H200,w4_tc4_v1,fp16,128,warp,3,25.5478,25.5453,25.791
NVIDIA H200,w4_tc4_v1,fp16,256,baseline,3,197.759,197.743,197.836
NVIDIA H200,w4_tc4_v1,fp16,256,fused_opt_int4,3,98.0534,97.8826,98.1504
NVIDIA H200,w4_tc4_v1,fp16,256,fused_tc_fast_int4,3,69.9366,69.912,69.961
NVIDIA H200,w4_tc4_v1,fp16,256,fused_tc_split_int4,3,76.33539999999999,76.29759999999999,76.47460000000001
NVIDIA H200,w4_tc4_v1,fp16,256,fused_warp_int4,3,51.2221,51.179500000000004,51.2986
NVIDIA H200,w4_tc4_v1,fp16,256,optimized,3,85.0118,84.9622,85.15259999999999
