gpu,dtype,tokens,head_dim,normalize,backend,round,us,max_abs,pass,nodes,replays,measurement
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,7,159.80900526046753,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,7,160.21300554275513,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,7,173.02440404891968,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,8,163.38560581207275,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,8,161.78699731826782,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao,8,250.80580711364746,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao_plus_quant,8,541.2586212158203,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,8,170.79139947891235,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao,0,11.915799975395203,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao_plus_quant,0,26.851001381874084,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,0,11.580999940633774,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,0,11.872400343418121,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,0,12.16140016913414,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao,1,11.912599951028824,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,1,12.157800048589706,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,1,11.857599765062332,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,1,11.596199870109558,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao_plus_quant,1,26.848000288009644,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,2,11.573000252246857,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,2,11.911000311374664,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,2,12.140999734401703,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao,2,11.929000169038773,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao_plus_quant,2,26.853200793266296,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,3,11.587399989366531,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao_plus_quant,3,26.84299945831299,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao,3,11.934000253677368,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,3,12.137000262737274,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,3,11.849600076675415,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,4,12.160000205039978,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao,4,11.917199939489365,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao_plus_quant,4,26.842200756072998,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,4,11.57900020480156,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,4,11.861199885606766,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,5,12.160799652338028,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,5,11.845999956130981,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,5,11.588600277900696,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao_plus_quant,5,26.846200227737427,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao,5,11.934400349855423,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao_plus_quant,6,26.8638014793396,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,6,11.59840002655983,,True,16,10,graph_amortized_device
