gpu,variant,dtype,head_dim,implementation,repeats,median_us,min_us,max_us
NVIDIA H200,w4_tc4_v0,fp16,512,fused_warp_int4,3,81.6426,81.49629999999999,81.8301
NVIDIA H200,w4_tc4_v0,fp16,512,optimized,3,162.152,162.099,162.222
NVIDIA H200,w4_tc4_v0,fp16,512,tc_fast,3,159.51399999999998,158.25400000000002,159.603
NVIDIA H200,w4_tc4_v0,fp16,512,tc_split,3,201.12800000000001,200.94500000000002,202.573
NVIDIA H200,w4_tc4_v0,fp16,512,unfused_int4,3,212.881,212.624,213.027
NVIDIA H200,w4_tc4_v0,fp16,512,warp,3,73.4221,73.39519999999999,73.5242
NVIDIA H200,w4_tc4_v0,fp16,1024,baseline,3,916.2620000000001,916.233,917.037
NVIDIA H200,w4_tc4_v0,fp16,1024,fused_opt_int4,3,464.606,464.459,464.95
NVIDIA H200,w4_tc4_v0,fp16,1024,fused_warp_int4,3,173.079,172.91899999999998,173.09199999999998
NVIDIA H200,w4_tc4_v0,fp16,1024,optimized,3,363.853,363.827,363.856
NVIDIA H200,w4_tc4_v0,fp16,1024,tc_fast,3,302.788,302.702,303.87199999999996
NVIDIA H200,w4_tc4_v0,fp16,1024,tc_split,3,382.722,381.896,383.02000000000004
NVIDIA H200,w4_tc4_v0,fp16,1024,unfused_int4,3,470.571,470.30300000000005,471.506
NVIDIA H200,w4_tc4_v0,fp16,1024,warp,3,172.47199999999998,172.273,172.511
NVIDIA H200,w4_tc4_v1,bf16,64,baseline,3,84.3494,84.2966,84.38080000000001
NVIDIA H200,w4_tc4_v1,bf16,64,fused_opt_int4,3,84.31139999999999,84.2634,84.4029
NVIDIA H200,w4_tc4_v1,bf16,64,fused_tc_fast_int4,3,22.0317,22.0026,22.1283
NVIDIA H200,w4_tc4_v1,bf16,64,fused_tc_split_int4,3,24.8051,24.695999999999998,24.815
NVIDIA H200,w4_tc4_v1,bf16,64,fused_warp_int4,3,25.2032,25.1533,25.2438
NVIDIA H200,w4_tc4_v1,bf16,64,optimized,3,24.991699999999998,24.956200000000003,25.0752
NVIDIA H200,w4_tc4_v1,bf16,64,tc_fast,3,21.529,21.490599999999997,21.5418
NVIDIA H200,w4_tc4_v1,bf16,64,tc_split,3,24.3766,24.3645,24.4598
NVIDIA H200,w4_tc4_v1,bf16,64,unfused_int4,3,106.59200000000001,106.542,106.764
NVIDIA H200,w4_tc4_v1,bf16,64,warp,3,24.9523,24.9293,25.0278
NVIDIA H200,w4_tc4_v1,bf16,128,baseline,3,100.251,100.225,100.258
NVIDIA H200,w4_tc4_v1,bf16,128,fused_opt_int4,3,84.91460000000001,84.855,84.9434
NVIDIA H200,w4_tc4_v1,bf16,128,fused_tc_fast_int4,3,38.657,38.6403,38.678999999999995
NVIDIA H200,w4_tc4_v1,bf16,128,fused_tc_split_int4,3,44.0672,44.0557,44.1411
NVIDIA H200,w4_tc4_v1,bf16,128,fused_warp_int4,3,31.7158,31.671,31.7162
NVIDIA H200,w4_tc4_v1,bf16,128,optimized,3,45.3037,45.293800000000005,45.3664
NVIDIA H200,w4_tc4_v1,bf16,128,tc_fast,3,38.5341,38.366699999999994,38.5398
NVIDIA H200,w4_tc4_v1,bf16,128,tc_split,3,43.653400000000005,43.5856,43.773399999999995
NVIDIA H200,w4_tc4_v1,bf16,128,unfused_int4,3,107.5,107.43700000000001,107.616
NVIDIA H200,w4_tc4_v1,bf16,128,warp,3,25.786199999999997,25.7354,25.794600000000003
NVIDIA H200,w4_tc4_v1,bf16,256,baseline,3,197.972,197.868,198.088
NVIDIA H200,w4_tc4_v1,bf16,256,fused_opt_int4,3,98.9245,98.9037,99.0291
NVIDIA H200,w4_tc4_v1,bf16,256,fused_tc_fast_int4,3,72.03519999999999,72.025,72.18560000000001
NVIDIA H200,w4_tc4_v1,bf16,256,fused_tc_split_int4,3,82.86689999999999,82.75009999999999,83.0019
NVIDIA H200,w4_tc4_v1,bf16,256,fused_warp_int4,3,52.2608,52.2496,52.3286
NVIDIA H200,w4_tc4_v1,bf16,256,optimized,3,85.1658,85.1293,85.5523
NVIDIA H200,w4_tc4_v1,bf16,256,tc_fast,3,70.7478,70.6541,70.9504
NVIDIA H200,w4_tc4_v1,bf16,256,tc_split,3,81.209,81.2086,81.416
NVIDIA H200,w4_tc4_v1,bf16,256,unfused_int4,3,122.68900000000001,122.628,123.092
NVIDIA H200,w4_tc4_v1,bf16,256,warp,3,41.281600000000005,41.1338,41.3498
NVIDIA H200,w4_tc4_v1,bf16,512,baseline,3,413.223,413.154,413.512
NVIDIA H200,w4_tc4_v1,bf16,512,fused_opt_int4,3,209.79600000000002,209.696,209.929
